,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
29,US,"Clarksburg is becoming a haven for Chenin Blanc in California. This bottling, using fruit sourced from several vineyards in the area, is balanced with just a trace of sweetness in the background (1% residual sugar). This is crisp, straightforward and blessed with notes of pear and lime. Drink it cold.",Chenin Blanc,86,16.0,California,Clarksburg,Central Valley,Virginie Boone,@vboone,Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg),Chenin Blanc,Clarksburg Wine Company,white,no
137,South Africa,"This is great Chenin Blanc, wood fermented but still leaving all the varietal character. Rich, creamy, almond flavors and silky smooth, which keeps all the essential acidity of the grape, with added spice and vanilla.",Hope Marguerite,90,,Walker Bay,,,Roger Voss,@vossroger,Beaumont 2005 Hope Marguerite Chenin Blanc (Walker Bay),Chenin Blanc,Beaumont,white,no
197,South Africa,"This is a concentrated, fairly full and lush Chenin, rich in toasty oak and vanilla cream as well as notes of baked apple pie and sweet orange. The medium-weight palate is mouthfilling and satisfying, with ample acidity to lift the decadent flavors. Notes of clove, anise and toasted nuts mingle on the lingering finish. Drink now–2019.",21 Gables,90,23.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Spier 2014 21 Gables Chenin Blanc (Western Cape),Chenin Blanc,Spier,white,no
226,South Africa,"This is a round and rich wine, with notes of wood-grilled apple, guava and toasted challah. Smooth and lush in feel, ripe peach and tropical tones drive the palate, while hints of honeysuckle and baking spice unfold on the finish. Ample acidity keeps the wine's weight in check. Drink now.",Chenin Blanc,90,20.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Oldenburg 2014 Chenin Blanc (Stellenbosch),Chenin Blanc,Oldenburg,white,no
483,South Africa,"A glimmer of toast and honey add depth to the green fig, apple and underripe peach center of this wine. Fresh and zippy on the palate, the vibrant fruit and sweet citrus flavors carry through to the mouthwatering finish. Drink up.",Chenin Blanc,87,12.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Cape View 2011 Chenin Blanc (Stellenbosch),Chenin Blanc,Cape View,white,no
484,South Africa,"A fresh and fruity wine that's ready to drink now. This has attractive aromas and flavors of green apple and lime followed by a clean, mouthwatering finish. There's a soft herbal streak that adds depth to the nose and mouth.",Petit,87,12.0,Western Cape,,,Lauren Buzzeo,@laurbuzz,Ken Forrester 2011 Petit Chenin Blanc (Western Cape),Chenin Blanc,Ken Forrester,white,no
828,France,"Chenin Blanc has found an unlikely new home in Cahors, to judge by the producers who are trying it out. It works well, giving a deliciously nutty character as well as intense citrus and minerality. Age this wine until 2015.",K-libre,86,30.0,Southwest France,Côtes du Lot,,Roger Voss,@vossroger,Clos Troteligotte 2013 K-libre Chenin Blanc (Côtes du Lot),Chenin Blanc,Clos Troteligotte,white,no
1389,South Africa,"The nose of this Chenin is light and dainty, with soft scents of toast, orange blossom, pear and white peach that dance in the glass. The palate is a bit more assertive, showing ripe flavors of pear and peach purée alongside a pleasant citric lift that refreshes the finish. Drink now.",Chenin Blanc,88,16.0,Swartland,,,Lauren Buzzeo,@laurbuzz,Terre Brûlée 2014 Chenin Blanc (Swartland),Chenin Blanc,Terre Brûlée,white,no
1390,South Africa,"An underlying richness and toasty character grounds the upfront aromas of citrus pith, green apple and pineapple core. Accessible and friendly, the structure is soft and easy, with medium acidity and light flavors of ripe pear flesh, honeydew and creamed orange. A hint of peach-pit nuttiness graces the medium-length finish. Drink now.",Chenin Blanc,88,,Swartland,,,Lauren Buzzeo,@laurbuzz,Delaire Graff 2012 Chenin Blanc (Swartland),Chenin Blanc,Delaire Graff,white,no
1534,France,"This wood aged Chenin Blanc has a strongly oxidative character. It has lost its fruit in favor of grilled almonds, toast and intense acidity. Drink this mature wine now.",Clos des Oratoriens,85,34.0,Loire Valley,Saumur,,Roger Voss,@vossroger,Château de Chaintres 2013 Clos des Oratoriens  (Saumur),Chenin Blanc,Château de Chaintres,white,no
1931,Israel,"Here's a refreshing and attractive Chenin Blanc that offers clean notes of ripe pear, green apple and honewdew melon alongside accents of cinnamon and white florals. The palate is light weight and vibrant, with lifting acidity that adds zest to the medium-length finish.",Chenin Blanc,87,35.0,Upper Galilee,,,Lauren Buzzeo,@laurbuzz,Shvo 2010 Chenin Blanc (Upper Galilee),Chenin Blanc,Shvo,white,no
2187,US,"As effusive in flavor as a bowl full of orchard fruits, this wine exudes fresh apple, melon and spearmint aromas backed by ripe yet crisp flavors that carry a vein of apple blossoms. It's not sweet, but it has a pleasant softness around the edges of the mouthfeel.",Chenin Blanc,89,13.0,California,Clarksburg,Central Valley,Jim Gordon,@gordone_cellars,Muddy Boot 2015 Chenin Blanc (Clarksburg),Chenin Blanc,Muddy Boot,white,no
2332,France,"Attractive, simply fruity Chenin Blanc, this is a wine for drinking now. It is full of nutty flavors and apple acidity, with just a touch of minerality to give the wine some tension.",Les Pouches,85,14.0,Loire Valley,Saumur,,Roger Voss,@vossroger,Cave de Saumur 2014 Les Pouches  (Saumur),Chenin Blanc,Cave de Saumur,white,no
2889,France,"A super-rich wine, almost over the top in its honeyed intensity. It is opulent, generous, packed with ripe yellow fruits, mango and pineapple. The wine is so rich that it is hard to find the acidity, but it is there in the orange marmalade flavor right at the end.",Les Melleresses,91,55.0,Loire Valley,Bonnezeaux,,Roger Voss,@vossroger,Château la Varière 2009 Les Melleresses  (Bonnezeaux),Chenin Blanc,Château la Varière,white,no
3823,France,"Now in golden maturity, this is a smooth, unctuous and ripe wine. Honey is the dominant character, a perfumed wild flower honey that is layered with intense acidity that lifts the wine in a beautiful way. A sweet wine yes, but one that is so balanced.",Cuvée le Paon,93,,Loire Valley,Coteaux du Layon,,Roger Voss,@vossroger,Domaine des Baumard 2003 Cuvée le Paon Chenin Blanc (Coteaux du Layon),Chenin Blanc,Domaine des Baumard,white,no
3832,France,"This is perfectly balanced dry Chenin. It has just the right amount of richness, aided by a touch of vanilla. The green and white fruits are blended with deceptively soft acidity to give a wine that feels full and ripe in the mouth. Good to drink now, but also worth aging for 3–4 years and more. Screwcap.",Chenin Blanc,93,,Loire Valley,Savennières,,Roger Voss,@vossroger,Domaine des Baumard 2010  Savennières,Chenin Blanc,Domaine des Baumard,white,no
3854,France,"A wine that combines the richness of the vintage with the extreme flinty texture of young, dry Chenin Blanc. Packed with ripe acidity, it is pure, very crisp, yet for aging.",Cuvée Spéciale,92,,Loire Valley,Savennières,,Roger Voss,@vossroger,Château d'Epire 2009 Cuvée Spéciale  (Savennières),Chenin Blanc,Château d'Epire,white,no
3863,France,Classic. Beautiful acidity is balanced by just a touch of sweetness. The wine is bright with apple and lime flavors.,Le Haut-Lieu Sec,92,28.0,Loire Valley,Vouvray,,Roger Voss,@vossroger,Domaine Huët 2010 Le Haut-Lieu Sec  (Vouvray),Chenin Blanc,Domaine Huët,white,no
3870,France,"A finely crafted wine, its tight acidity generating a very fresh profile. There is an intensity of fruit as well as a mineral texture. For aging. Screwcap.",Clos de Saint-Yves,91,,Loire Valley,Savennières,,Roger Voss,@vossroger,Domaine des Baumard 2007 Clos de Saint-Yves  (Savennières),Chenin Blanc,Domaine des Baumard,white,no
4024,South Africa,"A crisp, clean and direct selection, this offers great purity and definition. Bright aromas of lime, white melon and apple carry through to the brisk, well-balanced palate, with faint hints of hay and ginger-like spice on the close. Drink now.",Original Unwooded,88,15.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Raats Family 2012 Original Unwooded Chenin Blanc (Coastal Region),Chenin Blanc,Raats Family,white,no
4025,South Africa,"Sultry, smoky oak accents the ripe fruit core, full of apricot, peach and pear aromas and flavors. Notes of vanilla custard and orange oil add depth to the medium-weight palate, with brisk acidity that shines on the long, spicy finish. Drink now–2016.",The Renaissance of,88,,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Radford Dale 2012 The Renaissance of Chenin Blanc (Stellenbosch),Chenin Blanc,Radford Dale,white,no
4519,France,"The Grand Cru of Quarts de Chaume juts out over the Layon Valley, with its autumn mists, resulting in the best conditions for noble rot. This luscious wine, gold in color, is so rich, so intense as to be almost overwhelming. It is so young still all rich fruit, peaches, apricots with a touch of ginger. The wine, with its background of considerable acidity, will develop slowly; drink from 2020.",Grand Cru,95,60.0,Loire Valley,Quarts de Chaume,,Roger Voss,@vossroger,Château Pierre-Bise 2011 Grand Cru  (Quarts de Chaume),Chenin Blanc,Château Pierre-Bise,white,no
