,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,type,sparkling
30,France,"Red cherry fruit comes laced with light tannins, giving this bright wine an open, juicy character.",Nouveau,86,,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Domaine de la Madone 2012 Nouveau  (Beaujolais-Villages),Gamay,Domaine de la Madone,red,no
42,France,"This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor.",Nouveau,86,9.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Henry Fessy 2012 Nouveau  (Beaujolais),Gamay,Henry Fessy,red,no
49,France,"Soft and fruity, this is a generous, ripe wine that's full of juicy red-cherry fruits and gentle tannins. It has some richness, giving a sweet character to this open, ready-to-drink wine.",Eté Indien,86,14.0,Beaujolais,Brouilly,,Roger Voss,@vossroger,Vignerons de Bel Air 2011 Eté Indien  (Brouilly),Gamay,Vignerons de Bel Air,red,no
95,France,"This is a dense wine, packed with both tannins and acidity. It brings out the ageworthiness of this appellation with its rich potential and dark mineral texture. Drink this concentrated cru wine from 2018.",Gamay,88,20.0,Beaujolais,Juliénas,,Roger Voss,@vossroger,Henry Fessy 2015  Juliénas,Gamay,Henry Fessy,red,no
96,France,"The wine comes from one of the cru estates followed by this negociant house. It is a light, ripe and fruity wine. With its attractive red-berry flavors, finished with crisp acidity, it is accessible and ready to drink.",Gamay,88,18.0,Beaujolais,Régnié,,Roger Voss,@vossroger,Henry Fessy 2015  Régnié,Gamay,Henry Fessy,red,no
110,France,"Produced from cru vines at the base of Mount Brouilly, the wine has structure as well as ripe black-plum fruits. It is generous and its fruit is well balanced by acidity and solid tannins. The wines is ready to drink.",Les Quartelets,87,23.0,Beaujolais,Brouilly,,Roger Voss,@vossroger,Pardon et Fils 2015 Les Quartelets  (Brouilly),Gamay,Pardon et Fils,red,no
163,France,"Produced from vineyards donated to a charitable hospital in the 19th century, this wine is rich and now perfectly mature. It has smoky tannins that lie under the fine, elegant cherry and red plum fruits and acidity. The wine still has freshness although the attraction here is the ripe structure. The ornate label dates back to 1926.",Hospices Civils de Romanèche Thurins,91,,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Collin-Bourisset 2011 Hospices Civils de Romanèche Thurins  (Moulin-à-Vent),Gamay,Collin-Bourisset,red,no
802,France,"This is a firm wine, balancing some solid tannins with ripe red fruits. Still young, it is packed with fruitiness and with acidity that are centered around a firm core. Drink this stylish wine from 2018.",Le Griottier,90,22.0,Beaujolais,Juliénas,,Roger Voss,@vossroger,Domaine Franck Besson 2014 Le Griottier  (Juliénas),Gamay,Domaine Franck Besson,red,no
818,France,"The wine is warm and round, full of ripe berry fruits and soft tannins. It's ready to drink now with its full structure, balanced acidity and juicy aftertaste.",Belle Grâce,86,15.0,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Les Vins Aujoux 2013 Belle Grâce  (Beaujolais-Villages),Gamay,Les Vins Aujoux,red,no
831,France,Some wood aging gives the fruitiness of the wine an added spice. Tannins support the bitter cherry flavors and add firmness to the juicy acidity. Drink from the end of 2015.,Roche Grès,86,23.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Domaine du Haut-Poncié 2013 Roche Grès  (Moulin-à-Vent),Gamay,Domaine du Haut-Poncié,red,no
832,France,"The wine is very fresh, with intense acidity and fragrant red fruits. Made from 100-year-old vines, it's tight, mineral and has a cool, light character with the merest hint of tannin. Drink now.",Coeur de Vendanges,86,,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Domaine du Vissoux 2013 Coeur de Vendanges  (Beaujolais),Gamay,Domaine du Vissoux,red,no
835,France,"Attractive cherry flavors give a ripe, rounded feel that's balanced by the acidity and tannins. Black cherries burst easily from the glass, delivering a full aftertaste.",Flower Label,86,12.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Georges Duboeuf 2013 Flower Label  (Beaujolais),Gamay,Georges Duboeuf,red,no
842,France,"While the wine has a crisp side, it's also full of red fruits and soft tannins. That makes for a wine that's fragrant, fruity, ready to drink and not likely to age much. Enjoy it now.",Gamay,86,16.0,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Manoir du Carra 2013  Beaujolais-Villages,Gamay,Manoir du Carra,red,no
1508,France,"This is rich, spicy and full of red cherry flavor. It also has a dark, firm structure from the granite-based soil. The acidity that cuts through the fruit lends balance. Age this for 2–3 years.",Clos de Rochegrès,92,,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,Château des Jacques 2011 Clos de Rochegrès  (Moulin-à-Vent),Gamay,Château des Jacques,red,no
1512,France,"Made using fruit that was sourced from vines planted in 1939, this wine shows the great concentration low yields and old vines can give. It has Gamay's natural freshness, with firm, dry tannins, a spice note and a fragrant finish. It's drinkable now, but it will be better in two years.",Vignes de 1939,92,35.0,Beaujolais,Chénas,,Roger Voss,@vossroger,Pascal Aufranc 2011 Vignes de 1939  (Chénas),Gamay,Pascal Aufranc,red,no
1804,France,"This wine is light, fruity and with only a slightly tannic character. Aromatic cherry flavors give freshness and bring out a jammy character. It's ready to drink.",Les Vignes de Thulon,85,,Beaujolais,Beaujolais-Villages,,Roger Voss,@vossroger,Jean-Marc Burgaud 2014 Les Vignes de Thulon  (Beaujolais-Villages),Gamay,Jean-Marc Burgaud,red,no
1818,France,"This wine is tight, fresh with crisp red currant and red-cherry flavors. It is as bright as a button, fruity with layers of acidity that bring out a perfumed character at the end. The Colonge family has been growing grapes in Beaujolais since 1789.",Gamay,85,,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Domaine André Colonge 2014  Beaujolais,Gamay,Domaine André Colonge,red,no
1820,France,"Banana aromas don't intrude too strongly into the fruity palate of this wine that has a crisp character. Tart red-berry fruits and and bright acidity give the wine a fresh, totally fruity appeal with only a hint of tannin. Drink now.",Les Pays de Pierres Dorées,85,15.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Domaine Pral 2014 Les Pays de Pierres Dorées  (Beaujolais),Gamay,Domaine Pral,red,no
1823,France,"Structured and firm, this wine has more in the way of dry tannins than of fruit. It presents a fine skeleton without much flesh, leaving a wine that is tight and extracted. It needs plenty of time, so drink from late 2016.",Gamay,85,20.0,Beaujolais,Chiroubles,,Roger Voss,@vossroger,Georges Duboeuf 2014  Chiroubles,Gamay,Georges Duboeuf,red,no
1824,France,"This structured wine has a tight, tannic, dry character. It is slow to develop, leaving the black cherry fruits still masked by the forward dryness. Drink from 2016.",Domaine du Paradis,85,22.0,Beaujolais,Saint-Amour,,Roger Voss,@vossroger,Georges Duboeuf 2014 Domaine du Paradis  (Saint-Amour),Gamay,Georges Duboeuf,red,no
1826,France,"This wine is totally fresh, with crisp red currant and riper banana flavors—a bright wine that's all fruit and refreshing acidity. The family has been in the wine business since 1811 and today works with some 50 small-production growers.",Beau!,84,12.0,Beaujolais,Beaujolais,,Roger Voss,@vossroger,Loron et Fils 2014 Beau!  (Beaujolais),Gamay,Loron et Fils,red,no
1957,France,"Bold and fruity, this is laden with bitter cherry and juicy plum flavors. The tannins are light and attractive, with juicy, refreshing acidity. Age this for a few more months.",L'Enfer des Balloquets,88,17.0,Beaujolais,Brouilly,,Roger Voss,@vossroger,Robert Perroud 2011 L'Enfer des Balloquets  (Brouilly),Gamay,Robert Perroud,red,no
1964,France,"This has a firmly tannic structure and juicy fruit, suggesting its aging potential. It is rich and ripe, with black cherry and plum flavors that create a generous finish.",Domaine de la Source,88,15.0,Beaujolais,Chiroubles,,Roger Voss,@vossroger,Vignerons de Bel Air 2011 Domaine de la Source  (Chiroubles),Gamay,Vignerons de Bel Air,red,no
1970,France,"Showing a mineral-driven structure and firm tannins, this is a Beaujolais that needs to age. Rich and juicy, its perfumed red fruits currently cut through the dry tannins.",Gamay,88,20.0,Beaujolais,Chiroubles,,Roger Voss,@vossroger,Château de Raousset 2011  Chiroubles,Gamay,Château de Raousset,red,no
1986,France,"For a Morgon, this is relatively light, showing more fruit than structure, with freshness that's tempered by a firm edge and minerality. Keep for a year, or drink now.",Domaine de l'Oseraie,88,14.0,Beaujolais,Morgon,,Roger Voss,@vossroger,Signé Vigneron 2011 Domaine de l'Oseraie  (Morgon),Gamay,Signé Vigneron,red,no
2143,France,"Too alcoholic for its own good, the wine is full bodied and heavy. It has tannins, superripe black fruits while missing structure and acidity. It is developing fast and will be ready to drink from 2017.",Collection,84,22.0,Beaujolais,Moulin-à-Vent,,Roger Voss,@vossroger,L. Tramier & Fils 2015 Collection  (Moulin-à-Vent),Gamay,L. Tramier & Fils,red,no
